geo,urban_built_volume_2000,urban_built_area_2000,urban_population_2000,urban_built_volume_2005,urban_built_area_2005,urban_population_2005,urban_built_volume_2010,urban_built_area_2010,urban_population_2010,urban_built_volume_2015,urban_built_area_2015,urban_population_2015,urban_built_volume_2020,urban_built_area_2020,urban_population_2020
ITA,11725788569.686296,1116597329.2745118,20061994.832113024,12459404679.62746,1216313945.3568623,20886373.923078272,13212508816.215696,1321139867.8666677,21863805.212177735,13730149724.725508,1397854338.3176465,22584216.011178195,14247926236.701925,1472835732.3176477,23294737.195205126
JAM,317494765.9882349,39872486.509803906,858053.5028754144,329755119.9372544,41479038.04705875,886532.2461966834,336955115.16078395,42564507.423529394,897894.6228722034,346605118.0313724,44079888.67843138,904544.3165744565,365582168.64313716,46981997.27058824,915454.1926890713
JOR,1189727584.2431371,95223144.23529446,2801189.650652262,1339487400.0313714,109722129.09411734,3254088.6935898,1476819944.090201,123861566.1372549,4057571.291180668,1603393266.6980436,137106180.3529413,5423524.869113006,1701928914.7019596,147999269.73725513,6910260.297319548
JPN,64364227060.89407,5346538183.952931,88541282.66842932,67993367806.96868,5778913177.509789,91171753.03247248,71638694200.9334,6219060028.92941,93242859.48087934,76827170569.6823,6845355324.1293955,95633165.298492,79527515509.6118,7181856603.207823,95461212.72781935
KAZ,5201799229.913725,575836984.5137267,8651126.271305557,5860231821.137253,667273890.9450988,9572124.396981416,6501424183.717647,758254009.1960781,10617754.347856693,7745848599.070595,925326130.7568643,13004371.540644193,8144858136.760784,993723467.8431393,14463867.182027921
KEN,1393513502.8980403,155866253.72549012,4133767.7646442545,1536737764.219611,175742083.45882353,5148795.099608651,1759976768.5176528,207047416.60784322,6423779.699988284,1936025446.8980427,233944995.4549024,7774898.514822911,2173083262.2901983,276835430.0352933,9454161.004690768
KGZ,690024947.0117646,80206031.18823522,1379337.1502402942,760860907.5294108,90834851.74509802,1486460.2348180288,833762719.8666646,101968789.34117645,1593719.5594382952,943637515.3999996,119378503.99607855,1785960.2146513162,971979445.8705845,124796872.74509805,1955846.1813220142
KHM,318154148.2392154,29970042.94509805,1182255.557558826,449839188.9529414,46861011.30196069,1608485.194851867,613220287.8509808,70858360.87843165,2076607.9258417014,755849494.1960783,93376115.87450972,2500897.692729556,803118192.701958,102837352.7568622,2822706.4406721704
KOR,13272990018.164711,733157017.8823521,32635866.174205877,14753714488.325514,850170230.4039212,34562085.21289563,16254580437.788166,976511737.2431302,35992539.23162827,18053968661.858868,1141390439.1019511,38184754.89942616,18888645647.933483,1222969109.4901927,39318363.901224464
KWT,1520715099.1882296,113923255.47450952,1573540.7947793433,1527643214.6745007,114446880.92941141,1846041.6490997188,1534599359.3176413,114962335.22352919,2413005.2418887583,1566427898.078429,118036233.32548961,3184060.9020837117,1792764458.027452,139901297.39999995,3870206.9824441457
LAO,161234866.02352935,21333578.898039203,322466.2663771274,187481431.6666668,25794595.458823495,386166.79459502525,219197646.51372555,31619581.47843132,393746.55649003823,246872442.35686314,37423899.07843136,376008.9412986357,257823284.9333338,40007095.20000004,345491.96697669534
LBN,799776368.8627431,47028071.23529428,2055227.5815284117,861564300.7372532,51907015.64705881,2270984.144661029,924399833.2627455,57471512.45882335,2424599.65530517,1006235018.2196096,64867417.36470567,2847580.5027280953,1050123463.2235279,68592188.93333302,2634569.8797664074
LBR,390509826.8470575,48343958.14117658,893006.5127685571,420562425.4627442,52370372.30980384,1295859.4336131902,459247117.97254854,57820500.8862745,1212921.118169283,497493831.5647068,63523873.84705882,1466916.4144839186,513529484.07058835,66683595.99215679,1741394.5291313299
LBY,1727292584.1411757,209276860.9647072,2377041.216675046,1957266765.0117574,246664297.17647043,2806410.204278834,2139558012.6509764,277552542.3764723,3129841.236124024,2343146749.7725406,311023181.7764734,3120495.835953366,2771305057.45097,380887600.929415,3509241.6736641256
LKA,1208392700.9137297,134866826.6509804,3080989.8079557484,1322574444.4117596,150213235.8274517,3383725.020281504,1411119021.4901977,162877987.29411793,3609068.6843754626,1504443898.811769,176481795.0431376,3824720.8254590556,1654448217.4980445,198657589.5882342,4253787.36094242
LSO,182341166.3960785,23596255.90196082,246962.70193006675,201995092.0784316,26563788.090196047,260255.80816987858,221589337.80392146,29603078.38039216,275179.6172057822,238554070.03137255,32162641.262745082,290454.8701917001,245692417.29803944,33341162.764705848,302899.2063789067
LTU,542899200.2274506,55141476.9568627,1161665.3219507644,579960748.8901951,60616502.67450978,1106370.249664934,623112356.6549016,67142334.61568621,1069543.1414471269,662967038.3058827,73575416.27843134,1059222.2492063,693197555.1137253,79022854.94901964,1043818.9579185783
LVA,218501217.37647048,25376583.01176466,680581.8232018696,225430406.98823544,26445384.992156934,641539.4334746258,235644937.33333343,28137035.80784305,608607.5138113609,242902185.16078433,29399753.84705883,585191.3040920896,250037526.12549073,30775434.650980428,569421.2179949599
MAC,457981545.15294194,18870046.929411765,989903.2473744958,606361976.8392166,29266456.937254917,1337371.1591636182,684018790.0078417,35090561.30588239,1513624.149405398,757371500.7529408,40457678.14509809,1704220.5050596667,828041189.1725501,46073919.05882358,1964272.797646673
MAR,1652226495.5254912,161856085.05490196,9096695.914630845,1772472850.8980398,176218208.51372543,10116712.480863063,1937105305.1411767,197097215.17254892,11471717.285525749,2055064134.0117662,212983580.4431372,12497337.311634568,2418162418.2549043,262243491.47451013,13901614.851969708
MDA,418926183.66666704,37591094.89803925,926061.4756238644,441904293.50588185,40963633.21568622,884518.9642112842,456617523.3607846,42880845.250980385,804802.9149124831,470786637.3254905,44993057.913725495,715029.8487794276,478586212.7725492,45994188.956862785,630957.2480924802
MDG,647200999.027453,72314918.27058817,1230355.1940594006,688178552.6313713,77605400.66274498,1443756.674405234,728153829.4156859,83242625.66274497,1901512.5396982678,762312013.6666667,88301105.88235268,2465234.156779686,767102037.9607852,89366459.4431369,3184517.214524959
MEX,24920199568.69407,2692287114.5490136,52105379.21717014,27188280203.32551,2968847759.631369,59060807.64750902,29902050998.890156,3313915539.717647,64586811.72892124,33169368986.94507,3732340071.4117656,69848721.23359394,35032607163.86274,4029128538.6666636,70483384.55920179
MKD,142514596.90196094,19556962.588235304,412761.3021645522,157960784.26666668,22419799.81960784,465219.19854331017,166281036.6117648,24219598.60784314,482026.8707779915,173478635.42745107,25702887.419607833,498669.02886783803,181024670.2039217,27412841.48235301,514008.85868656146
